Cycle,Body,x,y,vx,vy
161,1,0.000274,0.000274,0.000069,0.000069
161,2,2.000570,2.000570,0.000143,0.000143
161,3,2.999155,2.999155,-0.000211,-0.000211
162,1,0.000278,0.000278,0.000069,0.000069
162,2,2.000577,2.000577,0.000144,0.000144
162,3,2.999145,2.999145,-0.000213,-0.000213
163,1,0.000281,0.000281,0.000069,0.000069
163,2,2.000585,2.000585,0.000144,0.000144
163,3,2.999134,2.999134,-0.000214,-0.000214
164,1,0.000285,0.000285,0.000070,0.000070
164,2,2.000592,2.000592,0.000145,0.000145
164,3,2.999124,2.999124,-0.000215,-0.000215
165,1,0.000288,0.000288,0.000070,0.000070
165,2,2.000599,2.000599,0.000146,0.000146
165,3,2.999113,2.999113,-0.000217,-0.000217
166,1,0.000292,0.000292,0.000071,0.000071
166,2,2.000606,2.000606,0.000147,0.000147
166,3,2.999102,2.999102,-0.000218,-0.000218
167,1,0.000295,0.000295,0.000071,0.000071
167,2,2.000614,2.000614,0.000148,0.000148
167,3,2.999091,2.999091,-0.000219,-0.000219
168,1,0.000299,0.000299,0.000072,0.000072
168,2,2.000621,2.000621,0.000149,0.000149
168,3,2.999080,2.999080,-0.000220,-0.000220
169,1,0.000302,0.000302,0.000072,0.000072
169,2,2.000629,2.000629,0.000150,0.000150
169,3,2.999069,2.999069,-0.000222,-0.000222
170,1,0.000306,0.000306,0.000072,0.000072
170,2,2.000636,2.000636,0.000151,0.000151
170,3,2.999058,2.999058,-0.000223,-0.000223
171,1,0.000310,0.000310,0.000073,0.000073
171,2,2.000644,2.000644,0.000152,0.000152
171,3,2.999047,2.999047,-0.000224,-0.000224
172,1,0.000313,0.000313,0.000073,0.000073
172,2,2.000651,2.000651,0.000152,0.000152
172,3,2.999036,2.999036,-0.000226,-0.000226
173,1,0.000317,0.000317,0.000074,0.000074
173,2,2.000659,2.000659,0.000153,0.000153
173,3,2.999024,2.999024,-0.000227,-0.000227
174,1,0.000321,0.000321,0.000074,0.000074
174,2,2.000666,2.000666,0.000154,0.000154
174,3,2.999013,2.999013,-0.000228,-0.000228
175,1,0.000324,0.000324,0.000075,0.000075
175,2,2.000674,2.000674,0.000155,0.000155
175,3,2.999002,2.999002,-0.000230,-0.000230
176,1,0.000328,0.000328,0.000075,0.000075
176,2,2.000682,2.000682,0.000156,0.000156
176,3,2.998990,2.998990,-0.000231,-0.000231
177,1,0.000332,0.000332,0.000075,0.000075
177,2,2.000690,2.000690,0.000157,0.000157
177,3,2.998978,2.998978,-0.000232,-0.000232
178,1,0.000336,0.000336,0.000076,0.000076
178,2,2.000698,2.000698,0.000158,0.000158
178,3,2.998967,2.998967,-0.000234,-0.000234
179,1,0.000339,0.000339,0.000076,0.000076
179,2,2.000705,2.000705,0.000159,0.000159
179,3,2.998955,2.998955,-0.000235,-0.000235
180,1,0.000343,0.000343,0.000077,0.000077
180,2,2.000713,2.000713,0.000160,0.000160
180,3,2.998943,2.998943,-0.000236,-0.000236
181,1,0.000347,0.000347,0.000077,0.000077
181,2,2.000721,2.000721,0.000160,0.000160
181,3,2.998932,2.998932,-0.000238,-0.000238
182,1,0.000351,0.000351,0.000078,0.000078
182,2,2.000729,2.000729,0.000161,0.000161
182,3,2.998920,2.998920,-0.000239,-0.000239
183,1,0.000355,0.000355,0.000078,0.000078
183,2,2.000737,2.000737,0.000162,0.000162
183,3,2.998908,2.998908,-0.000240,-0.000240
184,1,0.000359,0.000359,0.000078,0.000078
184,2,2.000746,2.000746,0.000163,0.000163
184,3,2.998896,2.998896,-0.000241,-0.000241
185,1,0.000363,0.000363,0.000079,0.000079
185,2,2.000754,2.000754,0.000164,0.000164
185,3,2.998884,2.998884,-0.000243,-0.000243
186,1,0.000367,0.000367,0.000079,0.000079
186,2,2.000762,2.000762,0.000165,0.000165
186,3,2.998872,2.998872,-0.000244,-0.000244
187,1,0.000370,0.000370,0.000080,0.000080
187,2,2.000770,2.000770,0.000166,0.000166
187,3,2.998859,2.998859,-0.000245,-0.000245
188,1,0.000374,0.000374,0.000080,0.000080
188,2,2.000778,2.000778,0.000167,0.000167
188,3,2.998847,2.998847,-0.000247,-0.000247
